Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Pete Crow-Armstrong,CHC,119.0,527.0,26.0,84.0,70.0,30.0,0.123339658,0.267552182,0.257270694,0.360424028,0.286353467,0.387832699,0.543624161,0.3984608964216663,0.36526536028047174,154.9656697773276,4.843268230557442,39.88991816261344,21.527880907058716,7.987856484658751,Pete Crow-Armstrong,27769,691718
Dillon Dingler,DET,109.0,462.0,26.0,64.0,80.0,0.0,0.062770562,0.216450216,0.253012048,0.297945205,0.272289156,0.336956521,0.525301204,0.3701262459806774,0.37375574236873976,139.33828607225556,0.4199746921658516,21.50689715096353,16.962288856506348,5.590322911710295,Dillon Dingler,27464,693307
Yordan Alvarez,HOU,117.0,517.0,35.0,79.0,86.0,1.0,0.15860735,0.174081237,0.302816901,0.335526315,0.321596244,0.435203094,0.624413145,0.43890561845138487,0.46486963711056833,188.13070383720924,-3.6433811085298657,49.22226846691115,-13.254819512367249,5.535277669682705,Yordan Alvarez,19556,670541
Bobby Witt Jr.,KCR,100.0,439.0,13.0,57.0,42.0,31.0,0.10022779,0.170842824,0.166240409,0.320261437,0.283887468,0.355353075,0.450127877,0.34948782126108807,0.3839944883834484,122.13131004903002,4.965935418382287,16.238622042452878,18.23218274116516,5.100038242603691,Bobby Witt Jr.,25764,677951
Kevin McGonigle,DET,114.0,515.0,12.0,76.0,45.0,11.0,0.141747572,0.13592233,0.141876431,0.31652661,0.286041189,0.390291262,0.42791762,0.3638834267970653,0.35096113119441397,134.98600883931923,3.673836194910109,24.57918517718995,3.1940563023090363,4.694230435382797,Kevin McGonigle,33572,805808
Otto Lopez,MIA,115.0,499.0,9.0,72.0,53.0,23.0,0.048096192,0.132264529,0.151515151,0.348484848,0.318181818,0.350701402,0.469696969,0.3537480544470594,0.32547169346963206,121.99290235756149,4.419379437342286,17.69722040576339,11.122663974761963,4.578532733475567,Otto Lopez,19608,672640
Brice Turang,MIL,112.0,508.0,16.0,74.0,74.0,16.0,0.127952755,0.246062992,0.185354691,0.345637583,0.272311212,0.365079365,0.457665903,0.35880531558019674,0.3470342551848017,127.43341894999014,1.4442936955019832,18.305475810418482,8.033658623695374,4.3557942443179,Brice Turang,22186,668930
JJ Wetherholt,STL,112.0,507.0,16.0,74.0,45.0,12.0,0.112426035,0.151873767,0.138248848,0.268221574,0.248847926,0.353057199,0.387096774,0.3319165062196184,0.3540569922167384,110.82562288687845,2.915756427682936,9.556324371535979,16.29554855823517,4.3029149189345945,JJ Wetherholt,34985,802139
James Wood,WSN,114.0,535.0,30.0,100.0,73.0,17.0,0.168224299,0.285981308,0.270022883,0.333333333,0.265446224,0.392523364,0.535469107,0.39485528498548067,0.41896507626488094,150.81355144149936,2.0213449597358704,34.91239227855935,-11.375511169433594,4.159716254704962,James Wood,29518,695578
Elly De La Cruz,CIN,98.0,439.0,20.0,66.0,54.0,21.0,0.109339407,0.266514806,0.227390181,0.337301587,0.271317829,0.35307517,0.49870801,0.3683345298832261,0.3671096519187645,128.26714903726483,2.5949161052703857,17.608725565488836,7.819728851318359,4.035526020904278,Elly De La Cruz,26668,682829
Ceddanne Rafaela,BOS,113.0,471.0,15.0,60.0,60.0,16.0,0.040339702,0.201698513,0.178329571,0.333333333,0.284424379,0.324093816,0.46275395,0.3417805439627755,0.2880018504392436,115.55624708552041,2.57979984767735,11.08102524423523,11.068546652793884,3.9623875480869706,Ceddanne Rafaela,24262,678882
Junior Caminero,TBR,117.0,511.0,33.0,71.0,71.0,2.0,0.125244618,0.18590998,0.268623025,0.283911671,0.27765237,0.369863013,0.546275395,0.3874788611472962,0.3733032656387544,150.79245208259042,-1.7223872439935803,28.392127601519224,-7.703163743019104,3.9588676978808843,Junior Caminero,28163,691406
