Name,Team,W,L,SV,G,GS,IP,K%,BB%,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,ERA-,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
Jacob Misiorowski,MIL,12.0,5.0,0.0,23.0,23.0,139.0,0.39848197,0.05882353,13.597122302158274,2.0071942446043165,0.841726618705036,0.22727272727272727,0.82278481,0.45054945,0.12745098,100.65721334586466,1.7482014388489209,42.2067219996613,1.9337128749335486,2.138517759172179,2.0371646317432255,5.35028600692749,Jacob Misiorowski,31623,694819
Cristopher Sanchez,PHI,15.0,4.0,0.0,25.0,25.0,155.2,0.28018576,0.05417957,10.464668778064983,2.0235547360899138,0.7516060448333965,0.33495145631067963,0.81597222,0.577830188,0.123809523,,2.5438973825130344,59.9783923054847,3.3075432574566883,2.6120130222279205,2.550780564842845,5.002632141113281,Cristopher Sanchez,20778,650911
Cameron Schlittler,NYY,10.0,6.0,0.0,26.0,26.0,152.0,0.31395349,0.05647841,11.19078947368421,2.013157894736842,0.8289473684210527,0.2646239554317549,0.8114374,0.416893732,0.096551724,97.94616987937559,2.1907894736842106,53.26021459009769,2.933039507477555,2.5809638023376467,2.8323974785934154,4.861510753631592,Cameron Schlittler,32095,693645
Dylan Cease,TOR,7.0,5.0,0.0,23.0,23.0,137.2,0.36347197,0.10669078,13.14043680633004,3.857143142156579,0.5883777674476137,0.2775800711743772,0.78445748,0.4375,0.084112149,97.21641979768786,2.4188863772846343,58.49608249100826,2.6500597823927383,2.3618354199016744,2.692384862910256,4.840683460235596,Dylan Cease,18525,656302
Chris Sale,ATL,12.0,8.0,0.0,22.0,22.0,129.0,0.30947776,0.05415861,11.162790697674419,1.9534883720930232,0.5581395348837209,0.3054662379421222,0.80893683,0.447949526,0.072727272,96.10116959064328,2.1627906976744184,51.57504838659561,3.073741563591089,2.290266127919042,2.779117828907893,4.629870891571045,Chris Sale,10603,519242
Jesus Luzardo,PHI,11.0,5.0,0.0,25.0,25.0,150.1,0.2979066,0.07407407,11.075388401323758,2.75388035924807,0.7184035719777574,0.3116531165311653,0.73849879,0.488,0.099173553,96.93066884176183,3.232816073899908,76.22127844649881,2.8760758697177593,2.7550214409773677,2.9397313565636285,4.608346939086914,Jesus Luzardo,19959,666200
Chase Burns,CIN,14.0,2.0,0.0,23.0,23.0,131.0,0.28707224,0.08745247,10.374045801526718,3.1603053435114505,0.8931297709923665,0.26666666666666666,0.82670906,0.366153846,0.091549295,97.65586034912718,2.4732824427480917,56.484227605227346,3.0442348623438122,3.142032504627723,3.498228580874341,3.8866043090820312,Chase Burns,35333,695505
Paul Skenes,PIT,9.0,11.0,0.0,25.0,25.0,134.2,0.30018083,0.06690778,11.094060243969926,2.4727724640173934,0.9356436350336083,0.3058103975535168,0.66951567,0.4,0.101449275,96.84501440246517,3.8762379165678054,91.14499032856538,3.1120558848394078,2.9918548847153983,3.196706699087237,3.6599364280700684,Paul Skenes,33677,694973
Drew Rasmussen,TBR,12.0,5.0,0.0,23.0,23.0,129.1,0.26284585,0.04545455,9.255155003150664,1.6005155268606412,0.835051579231639,0.25075528700906347,0.76709797,0.436578171,0.096,95.91941849226804,2.783505264105463,66.32522158131894,3.0998742647189172,2.926324620998454,3.1879975702614582,3.6550958156585693,Drew Rasmussen,25385,656876
Yoshinobu Yamamoto,LAD,12.0,7.0,0.0,22.0,22.0,145.1,0.24460432,0.06115108,8.422018643371114,2.1055046608427785,0.9288991150776965,0.22070844686648503,0.80530973,0.476063829,0.111940298,96.07149989205527,2.60091752221755,62.63786003360908,3.0800143089837593,3.3355509672107932,3.3941179315181853,3.6145195960998535,Yoshinobu Yamamoto,33825,808967
Parker Messick,CLE,9.0,7.0,0.0,24.0,24.0,142.1,0.25132743,0.07079646,8.978923037488274,2.529274095067119,0.8852459332734918,0.25340599455040874,0.80370943,0.447721179,0.101449275,94.24189164201184,2.5925059474437973,63.062144921208166,3.043600295036608,3.249582075342121,3.4433997093282196,3.50730299949646,Parker Messick,31986,800048
Reid Detmers,LAA,4.0,8.0,0.0,25.0,25.0,143.0,0.28842832,0.07426598,10.51048951048951,2.7062937062937062,1.06993006993007,0.2614942528735632,0.70121951,0.354570637,0.101796407,94.0642977627841,3.7762237762237763,89.71729941957759,3.317880394978347,3.2767679981418425,3.504951863011697,3.481959581375122,Reid Detmers,27468,672282
Ranger Suarez,BOS,4.0,3.0,0.0,21.0,21.0,108.0,0.24719101,0.06966292,9.166666666666666,2.5833333333333335,0.5,0.30847457627118646,0.72593801,0.402684563,0.063157894,91.66650015984655,3.25,74.98512876864335,3.5891309786162178,2.7105934319672764,3.324303667288688,3.3776326179504395,Ranger Suarez,17277,624133
Tarik Skubal,- - -,7.0,7.0,0.0,19.0,19.0,113.2,0.30269058,0.04484305,10.689149799271968,1.5835777480402915,0.9501466488241749,0.28102189781021897,0.76131687,0.430107526,0.118811881,96.73642675134519,2.850439946472525,68.39672508450603,3.015572204333332,2.7378552902622504,2.714921310451647,3.2606453597545624,Tarik Skubal,22267,669373
